Name,Album,Artist,URL
Vastunna Vachestunna - Telugu,V,Amit Trivedi,https://open.spotify.com/track/0VMigv7BI8OpP6CRSkyKX6
Vintunnavaa,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/4Ua5t8kTLSnVKWV2NK2xiN
Nee Yadalo Naaku,Awaara (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/4wUOdPcYoqYZGM2wSdoLQu
"Sirivennela (From ""Shyam Singha Roy"")","Sirivennela (From ""Shyam Singha Roy"") - Single",Anurag Kulkarni,https://open.spotify.com/track/486AmbPabBmmDMP0HVg5BR
Emo Emo,Raahu (Original Motion Picture Soundtrack),Praveen Lakkaraju,https://open.spotify.com/track/1kYg9IZJ9QwrnHaJztmK5n
Undiporaadhey,Hushaaru,Radhan,https://open.spotify.com/track/6jUscicoyUljrPOdQCfhnd
Padi Padi Leche,Padi Padi Leche Manasu,Vishal Chandrashekhar,https://open.spotify.com/track/7tXaDnRF8OVbcecl0KurVn
Jala Jala Jalapaatham Nuvvu,Uppena,Devi Sri Prasad,https://open.spotify.com/track/3NF3c438tAguEcWvU4b5iA
"Hey Idi Nenena (From ""Solo Brathuke So Better"")","Hey Idi Nenena (From ""Solo Brathuke So Better"")",Thaman S,https://open.spotify.com/track/4GC2IwmYrlC12YfPfHPLQe
Kanne Kanne,Arjun Suravaram,Sam C.S.,https://open.spotify.com/track/1xkeK8WR55UkcVAW7wFaxY
Motta Modatisari,Bhale Bhale Magadivoi,Gopi Sundar,https://open.spotify.com/track/7h95BpimIQ7TjLKsj6aL8l
Unnattundi Gundey,Valentine's Day Special,Various Artists,https://open.spotify.com/track/7MCv8sBnSVdRzHdA0jn7Mm
"Kaatuka Kanule (From ""Aakaasam Nee Haddhu Ra"")","Kaatuka Kanule (From ""Aakaasam Nee Haddhu Ra"")",G. V. Prakash,https://open.spotify.com/track/1HobaVS51OdBZqNmqt1TX7
Yentha Sakkagunnave,Rangasthalam,Devi Sri Prasad,https://open.spotify.com/track/6nhLm8GEkkH9kunfqdAFcO
Nuvvu Nuvvu,Khadgam,Devi Sri Prasad,https://open.spotify.com/track/2jRAFRpeDnibcHvtDgWRhG
Yellipoke Shyamala,Aa Aaa,Mickey J. Meyer,https://open.spotify.com/track/6x0uurbe3O3v7ogFWdEjYa
Pataas Pilla,DJ Tillu,Ram Miriyala,https://open.spotify.com/track/2dviQPe3xUZeAhURHzMDXf
"Yemunnave Pilla - From ""Nallamalla""","Yemunnave Pilla (From ""Nallamalla"")",Sid Sriram,https://open.spotify.com/track/6geYV8EMMVN5hytPHpXtIS
