Name,Album,Artist,URL
London Babu,No 1 Nenokkadine,Devi Sri Prasad,https://open.spotify.com/track/3nxB7XVdaJJjULzABMBQ6o
"Mind Block (From ""Sarileru Neekevvaru"")","Mind Block (From ""Sarileru Neekevvaru"")",Blaaze,https://open.spotify.com/track/15tCasit297c9SsbU3R95d
Muppy Aaru,Jagadam,Devi Sri Prasad,https://open.spotify.com/track/6mR0BpcRggfmcqNk1wFPmr
Notanki Notanki,Power,Thaman S,https://open.spotify.com/track/14cgVG7f2p1HzNYr4rOXTq
Nuvvu Vijilesthey,Simhadri,M. M. Keeravaani,https://open.spotify.com/track/21tbMUtePJKaOT5pSKQPYW
Oororo Yogi,Yogi,Ramana Gogula,https://open.spotify.com/track/2H6aGuQCchI1Qa4eUb51Ua
Pathikella Sundhari,Balupu,Thaman S,https://open.spotify.com/track/4F2p8L4DOL0OlvJ9xDhfWJ
Pimple Dimple,Yevadu,Devi Sri Prasad,https://open.spotify.com/track/4TjRZSNivRDpGKDOL0SlSx
Rakhi Rakhi,Rakhi,Devi Sri Prasad,https://open.spotify.com/track/3dn0RtihJaiPDszn9QG00S
Ratthaalu,Khaidi No 150,Devi Sri Prasad,https://open.spotify.com/track/49bXxI5G1fTOuVRr56s5fr
Rowdy Baby,Maari 2 (Telugu) (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/7i0Fee6bIqMcj4VyO4gnPN
Silakaaa,Mirapakay,Thaman S,https://open.spotify.com/track/4bZzxStIsy6VJqhrS1rXvN
Suyaa Suyaa,Winner,Thaman S,https://open.spotify.com/track/2HeD7Hz3csePItxLc1NxYX
Silakemo,Venky,Devi Sri Prasad,https://open.spotify.com/track/4oDLTpHhYT61aV0RscA9rs
Sur Super,Loukyam,Anup Rubens,https://open.spotify.com/track/4KqxBTEZ2KLy9UVSdy3Ecz
Veyira Cheyyi Veyira,Panjaa,Yuvan Shankar Raja,https://open.spotify.com/track/5z2QHBeHThZ4l8EtRQzQoJ
"Appadipodu (From ""Gilli"")","Sweet Voice of Anuradha Sriram, Vol.2",Anuradha Sriram,https://open.spotify.com/track/3fyHDjLeNJIblGEiWzQbIS
Adhaaru Adhaaru,Yennai Arindhaal (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/0Ps7lWZdj1NAuyAVumclyC
Baavalu Sayya,Bava Bavamaridhi,Raj-Koti,https://open.spotify.com/track/19jQ9bElMeLFkzbbyMwAbX
Mannela Tintivira,Chatrapathi,M. M. Keeravaani,https://open.spotify.com/track/1kFxV0TAuFQaGUTsKUEB8M
"Bhoom Bhaddhal (From ""Krack"")","Bhoom Bhaddhal (From ""Krack"")",Mangli,https://open.spotify.com/track/6pM9FJtp8Bc3bEacpqbcCH
"Dinchak (From ""Red"")","Dinchak (From ""Red"")",Keerthana Sharma,https://open.spotify.com/track/0iT2FnhutL3yJh7DXy1SOG
